Text,WhoSaid,Context,SourceType,SourceKey
And I won a Barbra Streisand album.,Brian May,"On the prize for 1984 winning a talent contest at the Top Rank Club, Croydon",AsItBeganBook,and-i-won-a-barbra-streisand-album-brian-may
"We were so proud of him. We knew that his music was so very important to him, but we secretly hoped he would continue studying, and finish his thesis. He'd done so much work towards it. But we were prepared to stand by him whatever he chose.",Ruth May,"Brian's mother, on his graduation day at the Royal Albert Hall",AsItBeganBook,we-were-so-proud-of-him-we-knew-that-his-music-was-so-very-ruth-may
"None of us could actually play. We just stood there and strummed and twanged tuneless chords, it was dreadful! But we invited the neighbours and some friends along, and we charged them to get in!",Roger Taylor,"On his first band, the Bubblingover Boys",AsItBeganBook,none-of-us-could-actually-play-we-just-stood-there-and-stru-roger-taylor
"Roger was so ambitious, and his confidence in himself was immense. He just knew that one day he would make a name for himself and be living in London. I knew it too in my heart.",Winifred Taylor,"Roger's mother, recalling his teenage ambition",AsItBeganBook,roger-was-so-ambitious-and-his-confidence-in-himself-was-im-winifred-taylor
"I was a lazy scholar, I hated studying and I was certainly given no privileges.",Roger Taylor,On his school days at Truro School,AsItBeganBook,i-was-a-lazy-scholar-i-hated-studying-and-i-was-certainly-g-roger-taylor
I remember the first time I saw Roger on drums. His flamboyance just blew me away.,Tim Staffell,"On first seeing Roger Taylor play, at their audition meeting",AsItBeganBook,i-remember-the-first-time-i-saw-roger-on-drums-his-flamboya-tim-staffell
"I loathed cricket, and long-distance running, I was completely useless at both! But I could sprint, I was good at hockey, and I was just brilliant in the boxing ring, believe it or not!",Freddie Mercury,Recalling his school sports at St Peter's,AsItBeganBook,i-loathed-cricket-and-long-distance-running-i-was-complete-freddie-mercury
"Freddie was excellent at all sports, but when I heard about the boxing, I wrote to him from Zanzibar, where we were living, and told him to stop that, I didn't like the idea, it was too violent.",Jer Bulsara,Freddie's mother,AsItBeganBook,freddie-was-excellent-at-all-sports-but-when-i-heard-about-jer-bulsara
"In Zanzibar, at that time, the native people would make and sell handicrafts, ornaments and lots of local hand-made things. Freddie was strolling in the park one day when a local boy passed with his wares, and Freddie fell in love with a little ornament of a deer and her fawn.",Jer Bulsara,Recounting a childhood story about Freddie's generosity,AsItBeganBook,in-zanzibar-at-that-time-the-native-people-would-make-and-jer-bulsara
"I asked him why, and he said he needed to lend a friend some money, as he was being thrown out of his flat and desperately needed it. I thought it would be ten pounds or so. He asked for fifty pounds! ... That was his way, always generous, always thoughtful of others.",Jer Bulsara,On teenage Freddie giving away his savings,AsItBeganBook,i-asked-him-why-and-he-said-he-needed-to-lend-a-friend-some-jer-bulsara
"Ibex were going nowhere fast. They had so much talent though, and it didn't go unnoticed by Freddie. He was a kind, penniless, outrageous guy, and he loved Ibex.",Ken Testi,"Ibex's roadie/manager, on the band Freddie joined in 1969",AsItBeganBook,ibex-were-going-nowhere-fast-they-had-so-much-talent-though-ken-testi
"We auditioned Freddie to take over lead vocals from Mike. It was at Imperial College. We were all competent players... but none of us was particularly good at singing. Freddie had a great voice, with a terrific range, but he didn't really know how to use it.",Mick 'Miffer' Smith,"Ibex's drummer, on auditioning Freddie",AsItBeganBook,we-auditioned-freddie-to-take-over-lead-vocals-from-mike-it-mick-miffer-smith
